source,date,year,location_name,lat,lng,count,notes
CBC,1966,1966,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1966,1966,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1966,1966,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1967,1967,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1967,1967,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1967,1967,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1968,1968,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1968,1968,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1968,1968,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1969,1969,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1969,1969,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1969,1969,Oliver Springs,36.045,-84.344,1,CBC circle 82034; detection
CBC,1970,1970,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1970,1970,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1970,1970,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1971,1971,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1971,1971,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1971,1971,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1972,1972,Fish Springs,36.317,-82.058,1,CBC circle 82042; detection
CBC,1972,1972,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1972,1972,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1973,1973,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1973,1973,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1973,1973,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1974,1974,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1974,1974,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1974,1974,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1975,1975,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1975,1975,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1975,1975,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1976,1976,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1976,1976,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1976,1976,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1977,1977,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1977,1977,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1977,1977,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1978,1978,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1978,1978,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1978,1978,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1979,1979,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1979,1979,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1979,1979,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1980,1980,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1980,1980,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1980,1980,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1981,1981,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1981,1981,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1981,1981,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1982,1982,Fish Springs,36.317,-82.058,,CBC circle 82042; no count conducted
CBC,1982,1982,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1982,1982,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1983,1983,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1983,1983,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1983,1983,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1984,1984,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1984,1984,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1984,1984,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1985,1985,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1985,1985,Allens Bridge,36.26,-82.14,1,CBC circle 82041; detection
CBC,1985,1985,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1986,1986,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1986,1986,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1986,1986,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1987,1987,Fish Springs,36.317,-82.058,0,CBC circle 82042
CBC,1987,1987,Allens Bridge,36.26,-82.14,0,CBC circle 82041
CBC,1987,1987,Oliver Springs,36.045,-84.344,0,CBC circle 82034
CBC,1988,1988,Fish Springs,36.317,-82.058,,CBC circle 82042; no count conducted
CBC,1988,1988,Allens Bridge,36.26,-82.14,0,CBC circle 82041
